:ID	number	label	type	quoted	text	:LABEL
HF57902BB1013480D8EE87DA87EA83DE3	(I)	is aligned with the challenging State academic standards; and	subclause	True	(I) is aligned with the challenging State academic standards; and	Subclause
HD167FE9576B4478785EE519C772E7B29	(II)	leads to industry-recognized credentials that meet the quality criteria established by the State und...	subclause	True	(II) leads to industry-recognized credentials that meet the quality criteria established by the State under section 123(a) of the Workforce Innovation and Opportunity Act (29 U.S.C. 3102);	Subclause
HF57902BB1013480D8EE87DA87EA83DE3	(I)	is aligned with the challenging State academic standards; and	subclause	True	(I) is aligned with the challenging State academic standards; and	Subclause
HD167FE9576B4478785EE519C772E7B29	(II)	leads to industry-recognized credentials that meet the quality criteria established by the State und...	subclause	True	(II) leads to industry-recognized credentials that meet the quality criteria established by the State under section 123(a) of the Workforce Innovation and Opportunity Act (29 U.S.C. 3102);	Subclause
HAED9D18FD71C46EFB6761362E36DE132	(I)	who are representative of	subclause	True	(I) who are representative of	Subclause
H4DE581C5900F4BB9B3CDD5092F9076A5	(II)	that include, to the extent practicable, majority representation of individuals who, in the most rec...	subclause	True	(II) that include, to the extent practicable, majority representation of individuals who, in the most recent 2 years, have had practical experience in the classroom, school administration, or State or local government (such as direct employees of a school, local educational agency, or State educational agency); and	Subclause
HF0D27F8414DA46F5838848084044444D	(III)	who represent a regionally diverse cross-section of States;	subclause	True	(III) who represent a regionally diverse cross-section of States;	Subclause
H9376C2E5E167425A91A368AD51E9C504	(I)	the Secretary	subclause	True	(I) the Secretary	Subclause
HCE2FDA93274846FABDABB032BA99DAB8	(II)	the State	subclause	True	(II) the State	Subclause
H34A93E11D9D4497297B5DCACEB669177	(I)	are aligned with the challenging State academic content standards under subparagraph (A);	subclause	True	(I) are aligned with the challenging State academic content standards under subparagraph (A);	Subclause
HA8915CB99A3141ED856DB9BEF1DABEE6	(II)	promote access to the general education curriculum, consistent with the Individuals with Disabilitie...	subclause	True	(II) promote access to the general education curriculum, consistent with the Individuals with Disabilities Education Act (20 U.S.C. 1400 et seq.);	Subclause
H50CC31D5E1F34CD880BBCAB4ADDDC71B	(III)	reflect professional judgment as to the highest possible standards achievable by such students;	subclause	True	(III) reflect professional judgment as to the highest possible standards achievable by such students;	Subclause
H84427E3D5E724683A623481F227B6607	(IV)	are designated in the individualized education program developed under section 614(d)(3) of the Indi...	subclause	True	(IV) are designated in the individualized education program developed under section 614(d)(3) of the Individuals with Disabilities Education Act (20 U.S.C. 1414(d)(3)) for each such student as the academic achievement standards that will be used for the student; and	Subclause
HC5F74A256DA745C3B2E118E51C9B735A	(V)	are aligned to ensure that a student who meets the alternate academic achievement standards is on tr...	subclause	True	(V) are aligned to ensure that a student who meets the alternate academic achievement standards is on track to pursue postsecondary education or employment, consistent with the purposes of Public Law 93112, as in effect on July 22, 2014.	Subclause
HC61601E18299474B9EB775076978C30A	(I)	the same academic assessments used to measure the achievement of all public elementary school and se...	subclause	True	(I) the same academic assessments used to measure the achievement of all public elementary school and secondary school students in the State; and	Subclause
H534E82D60A9D4AD7BF1866507137D63D	(II)	administered to all public elementary school and secondary school students in the State;	subclause	True	(II) administered to all public elementary school and secondary school students in the State;	Subclause
HAB80908C2D1141FCB3F00305EC369CA8	(I)	in the case of mathematics and reading or language arts, be administered	subclause	True	(I) in the case of mathematics and reading or language arts, be administered	Subclause
H629FE97765994B29B9476AD4640058DE	(II)	in the case of science, be administered not less than one time during	subclause	True	(II) in the case of science, be administered not less than one time during	Subclause
HA0297A5162AB499DBDD3AB60C359B2AC	(III)	in the case of any other subject chosen by the State, be administered at the discretion of the State...	subclause	True	(III) in the case of any other subject chosen by the State, be administered at the discretion of the State;	Subclause
H595677DDE35E4A41B652269A96510EC1	(I)	the participation in such assessments of all students;	subclause	True	(I) the participation in such assessments of all students;	Subclause
H367372A67A424081AF1A2DE0460B6370	(II)	the appropriate accommodations, such as interoperability with, and ability to use, assistive technol...	subclause	True	(II) the appropriate accommodations, such as interoperability with, and ability to use, assistive technology, for children with disabilities (as defined in section 602(3) of the Individuals with Disabilities Education Act (20 U.S.C. 1401(3))), including students with the most significant cognitive disabilities, and students with a disability who are provided accommodations under an Act other than the Individuals with Disabilities Education Act (20 U.S.C. 1400 et seq.), necessary to measure the academic achievement of such children relative to the challenging State academic standards or alternate academic achievement standards described in paragraph (1)(E); and	Subclause
H4F94687859464795AD8F469CB74742F9	(III)	the inclusion of English learners, who shall be assessed in a valid and reliable manner and provided...	subclause	True	(III) the inclusion of English learners, who shall be assessed in a valid and reliable manner and provided appropriate accommodations on assessments administered to such students under this paragraph, including, to the extent practicable, assessments in the language and form most likely to yield accurate data on what such students know and can do in academic content areas, until such students have achieved English language proficiency, as determined under subparagraph (G);	Subclause
HFB7EF70EB9574BDDA23DF8FDEA86BB3E	(I)	be administered through a single summative assessment; or	subclause	True	(I) be administered through a single summative assessment; or	Subclause
HB04994E4A7524CDBB52BEDEADECCBC71	(II)	be administered through multiple statewide interim assessments during the course of the academic yea...	subclause	True	(II) be administered through multiple statewide interim assessments during the course of the academic year that result in a single summative score that provides valid, reliable, and transparent information on student achievement or growth;	Subclause
H8E5B058269E24C6FA0FDF0F323087E85	(I)	each major racial and ethnic group;	subclause	True	(I) each major racial and ethnic group;	Subclause
H8C425A18F7AB46E1962B56D302617BB8	(II)	economically disadvantaged students as compared to students who are not economically disadvantaged;	subclause	True	(II) economically disadvantaged students as compared to students who are not economically disadvantaged;	Subclause
HB2F158A42A784DEA8ADFDD2EA0D5FAD3	(III)	children with disabilities as compared to children without disabilities;	subclause	True	(III) children with disabilities as compared to children without disabilities;	Subclause
H7C051E48BCD54694905273B8023B3449	(IV)	English proficiency status;	subclause	True	(IV) English proficiency status;	Subclause
H4D53A48B1A474527A6A2D0E08450C3CE	(V)	gender; and	subclause	True	(V) gender; and	Subclause
H4ADBF31E848949C1BC07A48B250D56F2	(VI)	migrant status,	subclause	True	(VI) migrant status,	Subclause
H072E2D6829C9442995228BD360D3249C	(I)	is any end-of-course assessment or other assessment that is more advanced than the assessment taken ...	subclause	True	(I) is any end-of-course assessment or other assessment that is more advanced than the assessment taken by such student under clause (i) of this subparagraph; and	Subclause
HFD4959A8780841B78A98B1139060DF63	(II)	shall be used to measure such students academic achievement for purposes of subsection (c)(4)(B)(i).	subclause	True	(II) shall be used to measure such students academic achievement for purposes of subsection (c)(4)(B)(i).	Subclause
H9DF1A501C2A4464A9CAF92EDF08923AF	(I)	consistent with clause (ii), ensures that, for each subject, the total number of students assessed i...	subclause	True	(I) consistent with clause (ii), ensures that, for each subject, the total number of students assessed in such subject using the alternate assessments does not exceed 1 percent of the total number of all students in the State who are assessed in such subject;	Subclause
H1431E75022B441E2B990F91A6DA43599	(II)	ensures that the parents of such students are clearly informed, as part of the process for developin...	subclause	True	(II) ensures that the parents of such students are clearly informed, as part of the process for developing the individualized education program (as defined in section 614(d)(1)(A) of the Individuals with Disabilities Education Act (20 U.S.C. 1414(d)(1)(A)))	Subclause
HA29EEEBA40934D4F8D5FF6BAC93E4140	(III)	promotes, consistent with the Individuals with Disabilities Education Act (20 U.S.C. 1400 et seq.), ...	subclause	True	(III) promotes, consistent with the Individuals with Disabilities Education Act (20 U.S.C. 1400 et seq.), the involvement and progress of students with the most significant cognitive disabilities in the general education curriculum;	Subclause
H03C8392DB2004ECBB7C254ECE2E547A6	(IV)	describes in the State plan the steps the State has taken to incorporate universal design for learni...	subclause	True	(IV) describes in the State plan the steps the State has taken to incorporate universal design for learning, to the extent feasible, in alternate assessments;	Subclause
HC3179F8B30B340E78110EF069D6AC234	(V)	describes in the State plan that general and special education teachers, and other appropriate staff	subclause	True	(V) describes in the State plan that general and special education teachers, and other appropriate staff	Subclause
HC60F8B627332497490E915CB108216B0	(VI)	develops, disseminates information on, and promotes the use of appropriate accommodations to increas...	subclause	True	(VI) develops, disseminates information on, and promotes the use of appropriate accommodations to increase the number of students with significant cognitive disabilities	Subclause
HF72963919E2C42BA8F502A5F88B70D14	(VII)	does not preclude a student with the most significant cognitive disabilities who takes an alternate ...	subclause	True	(VII) does not preclude a student with the most significant cognitive disabilities who takes an alternate assessment based on alternate academic achievement standards from attempting to complete the requirements for a regular high school diploma.	Subclause
HCB0ED6E8E4D04567A45E98AEFD9AB1D2	(I)	Subject to the authority and requirements for the individualized education program team for a child ...	subclause	True	(I) Subject to the authority and requirements for the individualized education program team for a child with a disability under section 614(d)(1)(A)(i)(VI)(bb) of the Individuals with Disabilities Education Act (20 U.S.C. 1414(d)(1)(A)(i)(VI)(bb)), such team, consistent with the guidelines established by the State and required under section 612(a)(16)(C) of such Act (20 U.S.C. 1412(c)(16)(C)) and clause (i)(II) of this subparagraph, shall determine when a child with a significant cognitive disability shall participate in an alternate assessment aligned with the alternate academic achievement standards.	Subclause
