:ID	number	label	type	quoted	text	:LABEL
HC864084B4FDE444E9054B10287300EA8	(1)	(1) $15,012,317,605 for fiscal year 2017;	paragraph	True	(1)  $15,012,317,605 for fiscal year 2017;	Paragraph
HDDA1B8B978EB4D5EB8ADF63E8D01442A	(2)	(2) $15,457,459,042 for fiscal year 2018;	paragraph	True	(2)  $15,457,459,042 for fiscal year 2018;	Paragraph
HB258763897FD4B1E88AE91C4C2D050D0	(3)	(3) $15,897,371,442 for fiscal year 2019; and	paragraph	True	(3)  $15,897,371,442 for fiscal year 2019; and	Paragraph
H1751AA0EA40D4309863B832107B06357	(4)	(4) $16,182,344,591 for fiscal year 2020.	paragraph	True	(4)  $16,182,344,591 for fiscal year 2020.	Paragraph
HC864084B4FDE444E9054B10287300EA8	(1)	(1) $15,012,317,605 for fiscal year 2017;	paragraph	True	(1)  $15,012,317,605 for fiscal year 2017;	Paragraph
HDDA1B8B978EB4D5EB8ADF63E8D01442A	(2)	(2) $15,457,459,042 for fiscal year 2018;	paragraph	True	(2)  $15,457,459,042 for fiscal year 2018;	Paragraph
HB258763897FD4B1E88AE91C4C2D050D0	(3)	(3) $15,897,371,442 for fiscal year 2019; and	paragraph	True	(3)  $15,897,371,442 for fiscal year 2019; and	Paragraph
H1751AA0EA40D4309863B832107B06357	(4)	(4) $16,182,344,591 for fiscal year 2020.	paragraph	True	(4)  $16,182,344,591 for fiscal year 2020.	Paragraph
HC3D0B2A8BFA942859FBB016EFC3A0A4A	(1)	(1) 7 percent of the amount the State receives under subpart 2 of part A; or	paragraph	True	(1)  7 percent of the amount the State receives under subpart 2 of part A; or	Paragraph
HDC55ACA5E6B74E3E8359E1A3ECAD2270	(2)	(2) the sum of the amount the State	paragraph	True	(2)  the sum of the amount the State	Paragraph
HFD57A919D9004BE7A16EA0D7BB728253	(1)	(1) shall allocate not less than 95 percent of that amount to make grants to local educational agencies  ... 	paragraph	True	(1)  shall allocate not less than 95 percent of that amount to make grants to local educational agencies on a formula or competitive basis, to serve schools implementing comprehensive support and improvement activities or targeted support and improvement activities under section 1111(d); or	Paragraph
H7F75C2C2BD8C460AAC48CE0F98F105BC	(2)	(2) shall use the funds not allocated to local educational agencies under paragraph (1) to carry out thi ... 	paragraph	True	(2)  shall use the funds not allocated to local educational agencies under paragraph (1) to carry out this section, which shall include	Paragraph
HB28687A59FBA45CB935C472B2FD14325	(1)	(1) a description of how the local educational agency will carry out its responsibilities under section  ... 	paragraph	True	(1)  a description of how the local educational agency will carry out its responsibilities under section 1111(d) for schools receiving funds under this section, including how the local educational agency will	Paragraph
H483FD9975823497A8105E822DFDB1D8D	(2)	(2) an assurance that each school the local educational agency proposes to serve will receive all of the ... 	paragraph	True	(2)  an assurance that each school the local educational agency proposes to serve will receive all of the State and local funds it would have received in the absence of funds received under this section.	Paragraph
H747D151A0EFD492E8061CB0165589633	(1)	(1) serve high numbers, or a high percentage of, elementary schools and secondary schools implementing p ... 	paragraph	True	(1)  serve high numbers, or a high percentage of, elementary schools and secondary schools implementing plans under paragraphs (1) and (2) of section 1111(d);	Paragraph
HBE086FEA0FC14794B410244DD6C6125F	(2)	(2) demonstrate the greatest need for such funds, as determined by the State; and	paragraph	True	(2)  demonstrate the greatest need for such funds, as determined by the State; and	Paragraph
H85940E49CA37491AB56217E6A4863F4C	(3)	(3) demonstrate the strongest commitment to using funds under this section to enable the lowest-performi ... 	paragraph	True	(3)  demonstrate the strongest commitment to using funds under this section to enable the lowest-performing schools to improve student achievement and student outcomes.	Paragraph
HBFB09EB4CF0B4581B82CE5FECD954BB2	(1)	(1) the relative allocations the State educational agency made to those agencies for that fiscal year un ... 	paragraph	True	(1)  the relative allocations the State educational agency made to those agencies for that fiscal year under subpart 2 of part A; or	Paragraph
HBD2A44464BE843CDBFEFC713FF710E38	(2)	(2) section 1126(c).	paragraph	True	(2)  section 1126(c).	Paragraph
HC3D0B2A8BFA942859FBB016EFC3A0A4A	(1)	(1) 7 percent of the amount the State receives under subpart 2 of part A; or	paragraph	True	(1)  7 percent of the amount the State receives under subpart 2 of part A; or	Paragraph
HDC55ACA5E6B74E3E8359E1A3ECAD2270	(2)	(2) the sum of the amount the State	paragraph	True	(2)  the sum of the amount the State	Paragraph
HFD57A919D9004BE7A16EA0D7BB728253	(1)	(1) shall allocate not less than 95 percent of that amount to make grants to local educational agencies  ... 	paragraph	True	(1)  shall allocate not less than 95 percent of that amount to make grants to local educational agencies on a formula or competitive basis, to serve schools implementing comprehensive support and improvement activities or targeted support and improvement activities under section 1111(d); or	Paragraph
H7F75C2C2BD8C460AAC48CE0F98F105BC	(2)	(2) shall use the funds not allocated to local educational agencies under paragraph (1) to carry out thi ... 	paragraph	True	(2)  shall use the funds not allocated to local educational agencies under paragraph (1) to carry out this section, which shall include	Paragraph
HB28687A59FBA45CB935C472B2FD14325	(1)	(1) a description of how the local educational agency will carry out its responsibilities under section  ... 	paragraph	True	(1)  a description of how the local educational agency will carry out its responsibilities under section 1111(d) for schools receiving funds under this section, including how the local educational agency will	Paragraph
H483FD9975823497A8105E822DFDB1D8D	(2)	(2) an assurance that each school the local educational agency proposes to serve will receive all of the ... 	paragraph	True	(2)  an assurance that each school the local educational agency proposes to serve will receive all of the State and local funds it would have received in the absence of funds received under this section.	Paragraph
H747D151A0EFD492E8061CB0165589633	(1)	(1) serve high numbers, or a high percentage of, elementary schools and secondary schools implementing p ... 	paragraph	True	(1)  serve high numbers, or a high percentage of, elementary schools and secondary schools implementing plans under paragraphs (1) and (2) of section 1111(d);	Paragraph
HBE086FEA0FC14794B410244DD6C6125F	(2)	(2) demonstrate the greatest need for such funds, as determined by the State; and	paragraph	True	(2)  demonstrate the greatest need for such funds, as determined by the State; and	Paragraph
H85940E49CA37491AB56217E6A4863F4C	(3)	(3) demonstrate the strongest commitment to using funds under this section to enable the lowest-performi ... 	paragraph	True	(3)  demonstrate the strongest commitment to using funds under this section to enable the lowest-performing schools to improve student achievement and student outcomes.	Paragraph
HBFB09EB4CF0B4581B82CE5FECD954BB2	(1)	(1) the relative allocations the State educational agency made to those agencies for that fiscal year un ... 	paragraph	True	(1)  the relative allocations the State educational agency made to those agencies for that fiscal year under subpart 2 of part A; or	Paragraph
HBD2A44464BE843CDBFEFC713FF710E38	(2)	(2) section 1126(c).	paragraph	True	(2)  section 1126(c).	Paragraph
HAC11407BF49044979D8F7263A9DFCA58	(1)	(1) Each State educational agency, after meaningful consultation with geographically diverse local educa ... 	paragraph	True	(1) In general Each State educational agency, after meaningful consultation with geographically diverse local educational agencies described in subparagraph (B), may reserve not more than 3 percent of the amount the State educational agency receives under subpart 2 of part A for each fiscal year to carry out this section.	Paragraph
H812E1F0612FF4FBDBAD6B0247F00D6CA	(2)	(2) Of the funds reserved under paragraph (1)(A), the State educational agency may use not more than 1 p ... 	paragraph	True	(2) Program administration Of the funds reserved under paragraph (1)(A), the State educational agency may use not more than 1 percent to administer the program described in this section.	Paragraph
H48AEA24BD2C14F25B7ED3B1AFE5D0DD9	(1)	(1) From the amount reserved under subsection (a) by a State educational agency, the State educational a ... 	paragraph	True	(1) In general From the amount reserved under subsection (a) by a State educational agency, the State educational agency shall award grants to geographically diverse local educational agencies described in subsection (a)(1)(B)(i).	Paragraph
H80C0239196C040D1B911DDDE13B532D1	(2)	(2) In making such awards, the State educational agency shall prioritize awards to local educational age ... 	paragraph	True	(2) Priority In making such awards, the State educational agency shall prioritize awards to local educational agencies serving the highest percentage of schools, as compared to other local educational agencies in the State	Paragraph
HC454A0CF31A841C6A4A34E3793A13880	(1)	(1) may use not more than 1 percent of its award for outreach and communication to parents about availab ... 	paragraph	True	(1)  may use not more than 1 percent of its award for outreach and communication to parents about available direct student services described in paragraph (3) in the local educational agency and State;	Paragraph
H378D999E1F054B6BAFFA3F9DC7FD2702	(2)	(2) may use not more than 2 percent of its award for administrative costs related to such direct student ... 	paragraph	True	(2)  may use not more than 2 percent of its award for administrative costs related to such direct student services;	Paragraph
H110AC38ACCDE4479AFFF1DCA9533B475	(3)	(3) shall use the remainder of the award to pay the costs associated with one or more of the following d ... 	paragraph	True	(3)  shall use the remainder of the award to pay the costs associated with one or more of the following direct student services	Paragraph
HF2B70153BF4348728C0F022FE6A41C62	(4)	(4) in paying the costs associated with the direct student services described in paragraph (3), shall	paragraph	True	(4)  in paying the costs associated with the direct student services described in paragraph (3), shall	Paragraph
H7077B45D2CE74B8BB77B0643D0B8600D	(1)	(1) provide adequate outreach to ensure parents can exercise a meaningful choice of direct student servi ... 	paragraph	True	(1)  provide adequate outreach to ensure parents can exercise a meaningful choice of direct student services for their childs education;	Paragraph
H13C7B985196C4999A46DDC65D4F5CAE1	(2)	(2) ensure parents have adequate time and information to make a meaningful choice prior to enrolling the ... 	paragraph	True	(2)  ensure parents have adequate time and information to make a meaningful choice prior to enrolling their child in a direct student service;	Paragraph
H99674E15DA6247F0B225FA2BD047BBC4	(3)	(3) in the case of a local educational agency offering public school choice under this section, ensure s ... 	paragraph	True	(3)  in the case of a local educational agency offering public school choice under this section, ensure sufficient availability of seats in the public schools the local educational agency will make available for public school choice options;	Paragraph
HDC6F9823C8E44E4A891295F0B12BB09B	(4)	(4) prioritize services to students who are lowest-achieving;	paragraph	True	(4)  prioritize services to students who are lowest-achieving;	Paragraph
H4F39B4F42B4A471290BDA018BA38A767	(5)	(5) select providers of direct student services, which may include one or more of	paragraph	True	(5)  select providers of direct student services, which may include one or more of	Paragraph
HD2B3C94D7153416B87532B384DCBE16E	(6)	(6) monitor the provision of direct student services; and	paragraph	True	(6)  monitor the provision of direct student services; and	Paragraph
H92915BE7A30A4E47998B201476C7AF19	(7)	(7) publicly report the results of direct student service providers in improving relevant student outcom ... 	paragraph	True	(7)  publicly report the results of direct student service providers in improving relevant student outcomes in a manner that is accessible to parents.	Paragraph
HC185E6CBACFE424AB3740EF262F2C220	(1)	(1) ensure that each local educational agency that receives an award under this section and intends to p ... 	paragraph	True	(1)  ensure that each local educational agency that receives an award under this section and intends to provide public school choice under subsection (c)(3)(E) can provide a sufficient number of options to provide a meaningful choice for parents;	Paragraph
HE362E9B45E014A188441674A1BA042AA	(2)	(2) compile and maintain an updated list of State-approved high-quality academic tutoring providers that	paragraph	True	(2)  compile and maintain an updated list of State-approved high-quality academic tutoring providers that	Paragraph
HC05D9FB20992455893A7A11BD139FAEF	(3)	(3) ensure that each local educational agency receiving an award is able to provide an adequate number o ... 	paragraph	True	(3)  ensure that each local educational agency receiving an award is able to provide an adequate number of high-quality academic tutoring options to ensure parents have a meaningful choice of services;	Paragraph
H092E71A6D3B54CE09917870CB4BC827A	(4)	(4) develop and implement procedures for monitoring the quality of services provided by direct student s ... 	paragraph	True	(4)  develop and implement procedures for monitoring the quality of services provided by direct student service providers; and	Paragraph
H6965482A74D947A297BDF2CAAA599381	(5)	(5) establish and implement clear criteria describing the course of action for direct student service pr ... 	paragraph	True	(5)  establish and implement clear criteria describing the course of action for direct student service providers that are not successful in improving student academic outcomes, which, for a high-quality academic tutoring provider, may include a process to remove State approval under paragraph (2).	Paragraph
HAC11407BF49044979D8F7263A9DFCA58	(1)	(1) Each State educational agency, after meaningful consultation with geographically diverse local educa ... 	paragraph	True	(1) In general Each State educational agency, after meaningful consultation with geographically diverse local educational agencies described in subparagraph (B), may reserve not more than 3 percent of the amount the State educational agency receives under subpart 2 of part A for each fiscal year to carry out this section.	Paragraph
H812E1F0612FF4FBDBAD6B0247F00D6CA	(2)	(2) Of the funds reserved under paragraph (1)(A), the State educational agency may use not more than 1 p ... 	paragraph	True	(2) Program administration Of the funds reserved under paragraph (1)(A), the State educational agency may use not more than 1 percent to administer the program described in this section.	Paragraph
H48AEA24BD2C14F25B7ED3B1AFE5D0DD9	(1)	(1) From the amount reserved under subsection (a) by a State educational agency, the State educational a ... 	paragraph	True	(1) In general From the amount reserved under subsection (a) by a State educational agency, the State educational agency shall award grants to geographically diverse local educational agencies described in subsection (a)(1)(B)(i).	Paragraph
H80C0239196C040D1B911DDDE13B532D1	(2)	(2) In making such awards, the State educational agency shall prioritize awards to local educational age ... 	paragraph	True	(2) Priority In making such awards, the State educational agency shall prioritize awards to local educational agencies serving the highest percentage of schools, as compared to other local educational agencies in the State	Paragraph
HC454A0CF31A841C6A4A34E3793A13880	(1)	(1) may use not more than 1 percent of its award for outreach and communication to parents about availab ... 	paragraph	True	(1)  may use not more than 1 percent of its award for outreach and communication to parents about available direct student services described in paragraph (3) in the local educational agency and State;	Paragraph
H378D999E1F054B6BAFFA3F9DC7FD2702	(2)	(2) may use not more than 2 percent of its award for administrative costs related to such direct student ... 	paragraph	True	(2)  may use not more than 2 percent of its award for administrative costs related to such direct student services;	Paragraph
H110AC38ACCDE4479AFFF1DCA9533B475	(3)	(3) shall use the remainder of the award to pay the costs associated with one or more of the following d ... 	paragraph	True	(3)  shall use the remainder of the award to pay the costs associated with one or more of the following direct student services	Paragraph
HF2B70153BF4348728C0F022FE6A41C62	(4)	(4) in paying the costs associated with the direct student services described in paragraph (3), shall	paragraph	True	(4)  in paying the costs associated with the direct student services described in paragraph (3), shall	Paragraph
H7077B45D2CE74B8BB77B0643D0B8600D	(1)	(1) provide adequate outreach to ensure parents can exercise a meaningful choice of direct student servi ... 	paragraph	True	(1)  provide adequate outreach to ensure parents can exercise a meaningful choice of direct student services for their childs education;	Paragraph
H13C7B985196C4999A46DDC65D4F5CAE1	(2)	(2) ensure parents have adequate time and information to make a meaningful choice prior to enrolling the ... 	paragraph	True	(2)  ensure parents have adequate time and information to make a meaningful choice prior to enrolling their child in a direct student service;	Paragraph
H99674E15DA6247F0B225FA2BD047BBC4	(3)	(3) in the case of a local educational agency offering public school choice under this section, ensure s ... 	paragraph	True	(3)  in the case of a local educational agency offering public school choice under this section, ensure sufficient availability of seats in the public schools the local educational agency will make available for public school choice options;	Paragraph
HDC6F9823C8E44E4A891295F0B12BB09B	(4)	(4) prioritize services to students who are lowest-achieving;	paragraph	True	(4)  prioritize services to students who are lowest-achieving;	Paragraph
H4F39B4F42B4A471290BDA018BA38A767	(5)	(5) select providers of direct student services, which may include one or more of	paragraph	True	(5)  select providers of direct student services, which may include one or more of	Paragraph
HD2B3C94D7153416B87532B384DCBE16E	(6)	(6) monitor the provision of direct student services; and	paragraph	True	(6)  monitor the provision of direct student services; and	Paragraph
H92915BE7A30A4E47998B201476C7AF19	(7)	(7) publicly report the results of direct student service providers in improving relevant student outcom ... 	paragraph	True	(7)  publicly report the results of direct student service providers in improving relevant student outcomes in a manner that is accessible to parents.	Paragraph
HC185E6CBACFE424AB3740EF262F2C220	(1)	(1) ensure that each local educational agency that receives an award under this section and intends to p ... 	paragraph	True	(1)  ensure that each local educational agency that receives an award under this section and intends to provide public school choice under subsection (c)(3)(E) can provide a sufficient number of options to provide a meaningful choice for parents;	Paragraph
HE362E9B45E014A188441674A1BA042AA	(2)	(2) compile and maintain an updated list of State-approved high-quality academic tutoring providers that	paragraph	True	(2)  compile and maintain an updated list of State-approved high-quality academic tutoring providers that	Paragraph
HC05D9FB20992455893A7A11BD139FAEF	(3)	(3) ensure that each local educational agency receiving an award is able to provide an adequate number o ... 	paragraph	True	(3)  ensure that each local educational agency receiving an award is able to provide an adequate number of high-quality academic tutoring options to ensure parents have a meaningful choice of services;	Paragraph
H092E71A6D3B54CE09917870CB4BC827A	(4)	(4) develop and implement procedures for monitoring the quality of services provided by direct student s ... 	paragraph	True	(4)  develop and implement procedures for monitoring the quality of services provided by direct student service providers; and	Paragraph
H6965482A74D947A297BDF2CAAA599381	(5)	(5) establish and implement clear criteria describing the course of action for direct student service pr ... 	paragraph	True	(5)  establish and implement clear criteria describing the course of action for direct student service providers that are not successful in improving student academic outcomes, which, for a high-quality academic tutoring provider, may include a process to remove State approval under paragraph (2).	Paragraph
HAEAF8F168A3B433DBF7DC5A820081D55	(1)	(1) For any State desiring to receive a grant under this part, the State educational agency shall file w ... 	paragraph	True	(1) In general For any State desiring to receive a grant under this part, the State educational agency shall file with the Secretary a plan that is	Paragraph
H94C97965C82D4737BF9CE7888DEEBD24	(2)	(2) Consultation required under paragraph (1)(A) shall not interfere with the timely submission of the p ... 	paragraph	True	(2) Limitation Consultation required under paragraph (1)(A) shall not interfere with the timely submission of the plan required under this section.	Paragraph
HEA26D34449714A8991D6FECE76F4CC74	(3)	(3) A State plan submitted under paragraph (1) may be submitted as part of a consolidated plan under sec ... 	paragraph	True	(3) Consolidated plan A State plan submitted under paragraph (1) may be submitted as part of a consolidated plan under section 8302.	Paragraph
HCBDF465B602C40BCB46AF34BDB0EE17F	(4)	(4) The Secretary shall	paragraph	True	(4) Peer review and secretarial approval The Secretary shall	Paragraph
H75953B157CA1403FAD695408BA4DC45E	(5)	(5) All written communications, feedback, and notifications under this subsection shall be conducted in  ... 	paragraph	True	(5) Public review All written communications, feedback, and notifications under this subsection shall be conducted in a manner that is transparent and immediately made available to the public on the Departments website, including	Paragraph
H9F5718AB2DC64FA6B81150C9ED5C7E7C	(6)	(6) Each State plan shall	paragraph	True	(6) Duration of the plan Each State plan shall	Paragraph
