:ID	number	label	type	quoted	text	:LABEL
H20271D025B344055A847E4655B4BE878	(A)	(A) reserved for fiscal year 2016 under this subsection, as in effect on the day before the date of enac ... 	subparagraph	True	(A)  reserved for fiscal year 2016 under this subsection, as in effect on the day before the date of enactment of the Every Student Succeeds Act; and	Subparagraph
H874834D17CA84640BB9638B2D20BA42B	(B)	(B) received for fiscal year 2016 under subsection (g), as in effect on the day before the date of enact ... 	subparagraph	True	(B)  received for fiscal year 2016 under subsection (g), as in effect on the day before the date of enactment of the Every Student Succeeds Act.	Subparagraph
HE0F24E1D395446B2A309FE4A067441DD	(A)	(A) shall allocate not less than 95 percent of that amount to make grants to local educational agencies  ... 	subparagraph	True	(A)  shall allocate not less than 95 percent of that amount to make grants to local educational agencies on a formula or competitive basis, to serve schools implementing comprehensive support and improvement activities or targeted support and improvement activities under section 1111(d); or	Subparagraph
H4BD39009170B4B0189BCEA9515C86962	(B)	(B) may, with the approval of the local educational agency, directly provide for these activities or arr ... 	subparagraph	True	(B)  may, with the approval of the local educational agency, directly provide for these activities or arrange for their provision through other entities such as school support teams, educational service agencies, or nonprofit or for-profit external providers with expertise in using evidence-based strategies to improve student achievement, instruction, and schools; and	Subparagraph
H8710DBC799674149B996ECFE780618C4	(A)	(A) establishing the method, consistent with paragraph (1)(A), the State will use to allocate funds to l ... 	subparagraph	True	(A)  establishing the method, consistent with paragraph (1)(A), the State will use to allocate funds to local educational agencies under such paragraph, including ensuring	Subparagraph
HE4113B511BA844CE8552DE47AFC0685A	(B)	(B) monitoring and evaluating the use of funds by local educational agencies receiving an allotment unde ... 	subparagraph	True	(B)  monitoring and evaluating the use of funds by local educational agencies receiving an allotment under such paragraph; and	Subparagraph
H9D73E882D4554F3F9583D1B09471AF54	(C)	(C) as appropriate, reducing barriers and providing operational flexibility for schools in the implement ... 	subparagraph	True	(C)  as appropriate, reducing barriers and providing operational flexibility for schools in the implementation of comprehensive support and improvement activities or targeted support and improvement activities under section 1111(d).	Subparagraph
H476B581CEDE9405597CD4940FAEBBA51	(A)	(A) develop comprehensive support and improvement plans under section 1111(d)(1) for schools receiving f ... 	subparagraph	True	(A)  develop comprehensive support and improvement plans under section 1111(d)(1) for schools receiving funds under this section;	Subparagraph
H9AECB964AAA94CCD834FF13F78F5B4D7	(B)	(B) support schools developing or implementing targeted support and improvement plans under section 1111 ... 	subparagraph	True	(B)  support schools developing or implementing targeted support and improvement plans under section 1111(d)(2), if funds received under this section are used for such purpose;	Subparagraph
H82F958C12721496D917ECE9EF1DBD8AC	(C)	(C) monitor schools receiving funds under this section, including how the local educational agency will  ... 	subparagraph	True	(C)  monitor schools receiving funds under this section, including how the local educational agency will carry out its responsibilities under clauses (iv) and (v) of section 1111(d)(2)(B) if funds received under this section are used to support schools implementing targeted support and improvement plans;	Subparagraph
