:ID	number	label	type	quoted	text	:LABEL
H2DE7E7259A754ABC8380F1FA8D554CC4	1000.	1000. Redesignations	section	False	SEC. 1000. Redesignations Subpart 1 of part A of title I (20 U.S.C. 6311 et seq.) is amended	Section
HBB6B8185A7104F628639A649F6908CCC	1001.	1001. Statement of purpose	section	False	SEC. 1001. Statement of purpose Section 1001 (20 U.S.C. 6301) is amended to read as follows:	Section
H6EC42EFCAF704417A468C955A528C3FA	1001.	1001. Statement of purpose	section	True	SEC. 1001. Statement of purpose The purpose of this title is to provide all children significant opportunity to receive a fair, equitable, and high-quality education, and to close educational achievement gaps.	Section
H07B834F8D9E6492991058C80A2C7ED5B	1002.	1002. Authorization of appropriations	section	False	SEC. 1002. Authorization of appropriations Section 1002 (20 U.S.C. 6302) is amended to read as follows:	Section
HE8D2160677F245A1B8FBE5E117988F0D	1002.	1002. Authorization of appropriations	section	True	SEC. 1002. Authorization of appropriations There are authorized to be appropriated to carry out the activities described in part A	Section
HE64AFDB125CD48A3BD2521E856A989B2	1003.	1003. School improvement	section	False	SEC. 1003. School improvement Section 1003 (20 U.S.C. 6303) is amended to read as follows:	Section
H2AFFDAC6CB5D4529B6013E73ACE3990C	1003.	1003. School improvement	section	True	SEC. 1003. School improvement To carry out subsection (b) and the State educational agencys statewide system of technical assistance and support for local educational agencies, each State shall reserve the greater of	Section
H1F1BD951F2C3438D9B5A1640EC79F323	1004.	1004. Direct student services	section	False	SEC. 1004. Direct student services The Elementary and Secondary Education Act of 1965 (20 U.S.C. 6301 et seq.) is amended by inserting after section 1003 (20 U.S.C. 6303) the following:	Section
HDBCAB1CF2D394FB494FCE31312965121	1003A.	1003A. Direct student services	section	True	SEC. 1003A. Direct student services Each State educational agency, after meaningful consultation with geographically diverse local educational agencies described in subparagraph (B), may reserve not more than 3 percent of the amount the State educational agency receives under subpart 2 of part A for each fiscal year to carry out this section.	Section
H4E23911D44EA489AB5A8220EC7C8AA68	1005.	1005. State plans	section	False	SEC. 1005. State plans Section 1111 (20 U.S.C. 6311) is amended to read as follows:	Section
H97489F5339FC472FB96E7096B4BE30F1	1111.	1111. State plans	section	True	SEC. 1111. State plans For any State desiring to receive a grant under this part, the State educational agency shall file with the Secretary a plan that is	Section
H2D0D5D835A524845BBED8BFB84FF879A	1006.	1006. Local educational agency plans	section	False	SEC. 1006. Local educational agency plans Section 1112 (20 U.S.C. 6312) is amended to read as follows:	Section
