:ID	number	label	type	quoted	text	:LABEL
HFA36955C30424072B17332800B652B40	(i)	the local educational agencies receiving an allotment under such paragraph represent the geographic ...	clause	True	(i) the local educational agencies receiving an allotment under such paragraph represent the geographic diversity of the State; and	Clause
H0418CAE870094F75BED1DF1103FF4C6B	(ii)	that allotments are of sufficient size to enable a local educational agency to effectively implement...	clause	True	(ii) that allotments are of sufficient size to enable a local educational agency to effectively implement selected strategies;	Clause
HFA36955C30424072B17332800B652B40	(i)	the local educational agencies receiving an allotment under such paragraph represent the geographic ...	clause	True	(i) the local educational agencies receiving an allotment under such paragraph represent the geographic diversity of the State; and	Clause
H0418CAE870094F75BED1DF1103FF4C6B	(ii)	that allotments are of sufficient size to enable a local educational agency to effectively implement...	clause	True	(ii) that allotments are of sufficient size to enable a local educational agency to effectively implement selected strategies;	Clause
HBD29FD4552B842048E218BD96135ED0B	(i)	suburban, rural, and urban local educational agencies;	clause	True	(i) suburban, rural, and urban local educational agencies;	Clause
H0593680230B6497F836BDD843A604742	(ii)	local educational agencies serving a high percentage of schools identified by the State for comprehe...	clause	True	(ii) local educational agencies serving a high percentage of schools identified by the State for comprehensive support and improvement under section 1111(c)(4)(D)(i); and	Clause
H16B754F184EB42F3B71BFE12339944B3	(iii)	local educational agencies serving a high percentage of schools implementing targeted support and im...	clause	True	(iii) local educational agencies serving a high percentage of schools implementing targeted support and improvement plans under section 1111(d)(2).	Clause
H90B83AA4F3FF4A79848F8D3A58D4C22A	(i)	advanced courses; and	clause	True	(i) advanced courses; and	Clause
H4466082CFCCB46569D1D819505C6D232	(ii)	career and technical education coursework that	clause	True	(ii) career and technical education coursework that	Clause
H6AD850FB5D5348ED805A3457684637C0	(i)	have a demonstrated record of success in increasing students academic achievement;	clause	True	(i) have a demonstrated record of success in increasing students academic achievement;	Clause
HED089FE25CDD4DB4AE883B6DCC645BCF	(ii)	comply with all applicable Federal, State, and local health, safety, and civil rights laws; and	clause	True	(ii) comply with all applicable Federal, State, and local health, safety, and civil rights laws; and	Clause
HBA3F1FF3C74A48DEAF80011829988975	(iii)	provide instruction and content that is secular, neutral, and non-ideological;	clause	True	(iii) provide instruction and content that is secular, neutral, and non-ideological;	Clause
HBD29FD4552B842048E218BD96135ED0B	(i)	suburban, rural, and urban local educational agencies;	clause	True	(i) suburban, rural, and urban local educational agencies;	Clause
H0593680230B6497F836BDD843A604742	(ii)	local educational agencies serving a high percentage of schools identified by the State for comprehe...	clause	True	(ii) local educational agencies serving a high percentage of schools identified by the State for comprehensive support and improvement under section 1111(c)(4)(D)(i); and	Clause
